repo_name,status,classification,openrank_2505,stars,forks,language,created_at,description,repo_id,,,,,,,,,,,,,,,,,,
mindverse/Second-Me,x,General Assistant,26,12813,922,Python,2025-03-16,"Train your AI self, amplify you, bridge the world",949271792,,,,,,,,,,,,,,,,,,mindverse/Second-Me
mannaandpoem/OpenManus,x,General Assistant,,535,201,Python,2025-05-14,,943934999,,,,,,,,,,,,,,,,,,mannaandpoem/OpenManus
ollama/ollama,,Inference Deploy,303,143946,12109,Go,2023-06-26,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.",658928958,,,,,,,,,,,,,,,,,,ollama/ollama
ai-dynamo/dynamo,,Inference Deploy,79,4288,427,Rust,2025-03-03,A Datacenter Scale Distributed Inference Serving Framework,942206898,,,,,,,,,,,,,,,,,,ai-dynamo/dynamo
xorbitsai/inference,,Inference Deploy,66,8049,693,Python,2023-06-14,"Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop.",653496050,,,,,,,,,,,,,,,,,,xorbitsai/inference
triton-inference-server/server,x,Inference Deploy,37,9349,1597,Python,2018-10-04,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,151636194,,,,,,,,,,,,,,,,,,triton-inference-server/server
kserve/kserve,x,Inference Deploy,29,4265,1188,Python,2019-03-27,Standardized Serverless ML Inference Platform on Kubernetes,178075572,,,,,,,,,,,,,,,,,,kserve/kserve
nomic-ai/gpt4all,x,Inference Deploy,26,73637,8049,C++,2023-03-27,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,619959033,,,,,,,,,,,,,,,,,,nomic-ai/gpt4all
vllm-project/aibrix,x,Inference Deploy,24,3740,379,Jupyter Notebook,2024-06-10,Cost-efficient and pluggable Infrastructure components for GenAI inference,813348592,,,,,,,,,,,,,,,,,,vllm-project/aibrix
kvcache-ai/Mooncake,x,Inference Deploy,23,3430,284,C++,2024-06-25,"Mooncake is the serving platform for Kimi, a leading LLM service provided by Moonshot AI.",819733173,,,,,,,,,,,,,,,,,,kvcache-ai/Mooncake
mlc-ai/mlc-llm,x,Inference Deploy,16,20813,1749,Python,2023-04-29,Universal LLM Deployment Engine with ML Compilation,634081686,,,,,,,,,,,,,,,,,,mlc-ai/mlc-llm
bentoml/BentoML,x,Inference Deploy,14,7788,844,Python,2019-04-02,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!",178976529,,,,,,,,,,,,,,,,,,bentoml/BentoML
vllm-project/vllm,,Inference Engine,634,49928,8092,Python,2023-02-09,A high-throughput and memory-efficient inference and serving engine for LLMs,599547518,,,,,,,,,,,,,,,,,,vllm-project/vllm
sgl-project/sglang,,Inference Engine,288,15230,2067,Python,2024-01-08,SGLang is a fast serving framework for large language models and vision language models.,740303686,,,,,,,,,,,,,,,,,,sgl-project/sglang
openvinotoolkit/openvino,,Inference Engine,276,8442,2631,C++,2018-10-15,OpenVINO™ is an open source toolkit for optimizing and deploying AI inference,153097643,,,,,,,,,,,,,,,,,,openvinotoolkit/openvino
ggml-org/llama.cpp,,Inference Engine,239,81885,12117,C++,2023-03-10,LLM inference in C/C++,612354784,,,,,,,,,,,,,,,,,,ggml-org/llama.cpp
microsoft/onnxruntime,x,Inference Engine,198,16944,3276,C++,2018-11-10,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",156939672,,,,,,,,,,,,,,,,,,microsoft/onnxruntime
NVIDIA/TensorRT-LLM,,Inference Engine,119,10765,1504,C++,2023-08-16,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and support state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that orchestrate the inference execution in performant way.,679366051,,,,,,,,,,,,,,,,,,NVIDIA/TensorRT-LLM
kvcache-ai/ktransformers,x,Inference Engine,86,14414,1026,Python,2024-07-26,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations,833984877,,,,,,,,,,,,,,,,,,kvcache-ai/ktransformers
InternLM/lmdeploy,x,Inference Engine,64,6538,559,Python,2023-06-15,"LMDeploy is a toolkit for compressing, deploying, and serving LLMs.",654122609,,,,,,,,,,,,,,,,,,InternLM/lmdeploy
huggingface/text-generation-inference,x,Inference Engine,38,10230,1201,Python,2022-10-08,Large Language Model Text Generation Inference,547806116,,,,,,,,,,,,,,,,,,huggingface/text-generation-inference
mlflow/mlflow,,MLOps,97,20909,4609,Python,2018-06-05,Open source platform for the machine learning lifecycle,136202695,,,,,,,,,,,,,,,,,,mlflow/mlflow
wandb/wandb,,MLOps,80,9987,749,Python,2017-03-24,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.",86031674,,,,,,,,,,,,,,,,,,wandb/wandb
mlrun/mlrun,,MLOps,54,1546,265,Python,2019-09-01,"MLRun is an open source MLOps platform for quickly building and managing continuous ML applications across their lifecycle. MLRun integrates into your development and CI/CD environment and automates the delivery of production data, ML pipelines, and online applications.",205706595,,,,,,,,,,,,,,,,,,mlrun/mlrun
deepflowio/deepflow,x,MLOps,49,3352,371,Go,2022-01-16,eBPF Observability - Distributed Tracing and Profiling,448599559,,,,,,,,,,,,,,,,,,deepflowio/deepflow
flyteorg/flyte,x,MLOps,40,6296,725,Go,2019-10-21,"Scalable and flexible workflow orchestration platform that seamlessly unifies data, ML and analytics stacks.",216628419,,,,,,,,,,,,,,,,,,flyteorg/flyte
Netflix/metaflow,x,MLOps,26,8892,842,Python,2019-09-17,"Build, Manage and Deploy AI/ML Systems",209120637,,,,,,,,,,,,,,,,,,Netflix/metaflow
zenml-io/zenml,x,MLOps,25,4638,509,Python,2020-11-19,ZenML 🙏: The bridge between ML and Ops. https://zenml.io.,314197645,,,,,,,,,,,,,,,,,,zenml-io/zenml
hiyouga/LLaMA-Factory,,Post-train,132,52495,6391,Python,2023-05-28,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),646410686,,,,,,,,,,,,,,,,,,hiyouga/LLaMA-Factory
